study_key,pmid,year,title,max_acceleration_factor,band,all_factors_reported,n_evidence_matches,evidence_quote_for_max,extraction_pattern
S083,38167996,2024,AI-based motion artifact severity estimation in undersampled MRI allowing for selection of appropriate reconstruction models,4.0,2--4,4.0,4,"onstruction we used an acceleration of 4× with 8% central fraction since the low accelerations are considered to be triv- ial and 4× acceleration is clinically the most relevant at the moment. 3.2 Data We used multicoil brain T1, T2 an",fold
S084,,2024,Accelerated MRI reconstructions via variational network and feature domain learning,8.0,>4--8,3.0; 4.0; 5.0; 8.0,20,"ond positions, respectively, on the fastMRI leaderboard for 4 × accelerated reconstructions (Supporting Fig. S1). In the case of 8 × accelerations, the E2E VarNet dropped to the fourth position, whereas the Iterative Refinement with F",fold
S087,38009996,2024,CEST and nuclear Overhauser enhancement imaging with deep learning-extrapolated semisolid magnetization transfer reference: Scan-rescan reproducibilit,4.0,2--4,4.0,1,"m3 with 15 slices, refocusing flip angle =120°, turbo factor = 174, slice oversampling factor = 1.4, and compressed sensing (CS) acceleration factor = 4 (40, 41). The saturated images were acquired using a parallel transmission-based continu",accel_factor
S096,38760778,2024,MRI reconstruction with enhanced self-similarity using graph convolutional network,4.0,2--4,4.0,2,"ression and detail preservation than state-of-the-art methods, both visually and quantitatively. Under 1D Cartesian sampling with 4 × acceleration (AF = 4), the PSNR of knee data reached 34.19 dB, 1.05 dB higher than that of the compare",fold
S097,38462289,2024,NPB-REC: A non-parametric Bayesian deep-learning approach for undersampled MRI reconstruction with uncertainty estimation,12.0,>8,4.0; 8.0; 12.0,23,"natomical ROIs (denoted by ’A’), and the whole physical images (denoted by ’W’) with masks of acceleration rates R = 4, R = 8 and R = 12, respectively. NPB-REC Baseline Dropout R PSNR SSIM PSNR SSIM PSNR SSIM 4 W 36.21 ± 5.57",R_equals
S099,39349147,2024,Quantitative evaluation of Scout Accelerated Motion Estimation and Reduction (SAMER) MPRAGE for morphometric analysis of brain tissue in patients unde,4.0,2--4,4.0,1,"lthcare, Erlangen, Germany) using a 20-channel head coil. _R_ Each volunteer underwent five different in vivo MPRAGE scans at = 4-fold acceleration. A Wave-CAIPI-MPRAGE sequence was performed first following instructions to the subject t",fold
S104,38282270,2024,Zero-DeepSub: Zero-shot deep subspace reconstruction for rapid multiparametric quantitative MRI using 3D-QALAS,9.0,>8,2.0; 6.0; 9.0,9,"maps and could reduce voxel blurring, noise, and artifacts compared to conventional QALAS and showed robust performance at up to 9-fold acceleration with Zero- DeepSub, which enabled whole-brain T1, T2, and PD mapping at 1 mm isotropic re",fold
S105,40035173,2025,"3D MERMAID: 3D Multi-shot enhanced recovery motion artifact insensitive diffusion for submillimeter, multi-shell, and SNR-efficient diffusion imaging",4.0,2--4,2.0; 3.0; 4.0,3,rtifacts due to ΔB0 nonuniformities.<br><!-- End of picture text --> significantly. The 3D MERMAID sequence employs a projection acceleration factor of 4 to reduce the scan time per volume. The SNR of the 3D MERMAID sequence relative to the,accel_factor
S108,39887515,2025,A straightforward approach for 3D single-shot arterial spin labeling-based brain perfusion imaging: Preventing artifacts due to signal fluctuations,3.0,2--4,2.0; 3.0,6,"tuation-induced artifacts, with vendor-provided 3D SOS-TFL acquisition and straightforward CS-SENSE reconstruction at a moderate reduction factor of 3. We observed artifacts in multi-shot ASL images, which could be fully removed by a succe",accel_factor
S109,39316286,2025,Accelerating FLAIR imaging via deep learning reconstruction: potential for evaluating white matter hyperintensities,3.0,2--4,3.0,2,"tained using this fully sampled method was referred to as the standard FLAIR (std-FLAIR) image. We retrospectively reconstructed 3 × accelerated images (i.e., images obtained by applying AF = 3) using one-third of the fully sampled",fold
S115,40315626,2025,"Assessment of AI-accelerated T2-weighted brain MRI, based on clinical ratings and image quality evaluation",3.3,2--4,3.3,1,e this finding. This discrepancy might be attributed to our use of a high-quality conventional T2(CN) reference scan and the high acceleration factor of 3.3 in T2(DR). We assume that the generalizability of our findings across different scanner-/,accel_factor
S119,40273728,2025,Cycle-conditional diffusion model for noise correction of diffusion-weighted images using unpaired data,3.0,2--4,3.0,1,"ial single-shot echo-planar diffusion weighted imaging (single-shot echo-planarsequence; FOV = 192 × 192 mm; TE = 85 ms; GRAPPA acceleration factor = 3; matrix = 96 × 96; TR = 8200 ms; 69 slices with 2 mm isotropic voxel size, 30 gradient d",accel_factor
S122,39212832,2025,Deep learning for efficient reconstruction of highly accelerated 3D FLAIR MRI in neurological deficits,12.0,>8,12.0,4,"twork from 64 to 128, aiming to improve image quality further. The main protocol used in this study was designed to have a high acceleration factor of 12x. Other related works chose a more conservative acceleration factor in the range of 2 ×",accel_factor
S125,39898398,2025,Evaluation of Image Quality and Scan Time Efficiency in Accelerated 3D T1-Weighted Pediatric Brain MRI Using Deep Learning-Based Reconstruction,2.4,2--4,2.4,1,"8 10 10 Receiver bandwidth, kHz ± 31.25 ± 31.25 ± 41.67 ± 50.0 Number of averages 1 1 1 1 Imaging frequency, MHz 128 128 128 128 Acceleration factor 2.4 2.7 2.4 4.8 Acquisition time, s 191 94 135 80 3D = three-dimensional, TR = repetition tim",accel_factor
S126,39690114,2025,Incorporating Radiologist Knowledge Into MRI Quality Metrics for Machine Learning Using Rank-Based Ratings,16.0,>8,16.0,2,"localized around edges, as expected, but rather in central and ﬂat regions of the image. Image Reconstruction Task Figure 4 shows 16X undersampled T1-weighted images reconstructed with a DL model trained with MSE, SSIM, and the IQ-Net",fold
S127,40545734,2025,Insights on Scan-Specific Deep-Learning Strategies for Brain MRI Parallel Imaging Reconstruction,2.0,2--4,2.0,1,"struction performance of GRAPPA, rRAKI, and crRAKI in terms of SSIM, PSNR, NRMSE, NMAE, Blur and COBRAI at acceleration rates of R = 2, 3, 4, 5, and 6 (Nacs y = 40, Reff = 1.94, 2.82, 3.65, 4.43, and 5.17). The values are th",R_equals
S134,40679773,2025,Myelin water imaging from accelerated 3D-GRASE acquisitions using subspace constrained reconstruction,12.0,>8,3.0; 9.0; 12.0,9,"The AG<sup>CAIPIs</sup> 1 configuration yielded the best results in the in-vivo experiment, achieving the lowest RMSD up to an acceleration factor of 12. For acceleration factor of 3, where the AG0 and AG1 have the same k-space data, the redu",accel_factor
S142,40534142,2025,"Rapid, high-resolution and distortion-free R 2 ∗ mapping of fetal brain using multi-echo radial FLASH and model-based reconstruction",2.0,2--4,2.0,1,"ith 30 slices, 11 echoes with TR = 65 ms, TE1/ _𝛿_ TE/TE11 = 6.0/5.5/61.0 ms, FA = 15<sup>◦</sup> , bandwidth = 300 Hz/pixel, and acceleration factor 2. The total acquisition time was 4:17 min. The Cartesian _R_<sup>∗</sup> 2<sup>and</sup><s",accel_factor
S146,40457510,2025,Robust multi-coil MRI reconstruction via self-supervised denoising,8.0,>4--8,4.0; 8.0,2,"the same pre-processing steps. Random sampling is performed in the phase-encode direction with acceleration factors of R = 4 and R = 8, and a fully sampled 24 × 24 calibration region. We add additional noise to the k-space d",R_equals
