reviewer_name,study_key,year,title,doi,source_record,appraisal_basis,rob_patient_selection,rob_index_test,rob_reference_standard,rob_flow_timing,app_patient_selection,app_index_test,app_reference_standard,rob_patient_selection_note,rob_index_test_note,rob_reference_standard_note,rob_flow_timing_note,app_patient_selection_note,app_index_test_note,app_reference_standard_note
Dat Tat Mai,S088,2024,Clinical Evaluation of a 2-Minute Ultrafast Brain MR Protocol for Evaluation of Acute Pathology in the Emergency and Inp,10.3174/ajnr.a8143,2024 - Clinical Evaluation of a 2-Minute Ultrafast Brain MR Protocol for Evaluation of Acute Pathology in the Emergency and Inp - SCOPUS 2-s2.0-85189976776.md,full text,Low,Low,High,Low,Low,Low,Low,,,,,,,
Dat Tat Mai,S089,2024,Comprehensive assessment of imaging quality of artificial intelligence-assisted compressed sensing-based MR images in ro,10.1186/s12880-024-01463-6,2024 - Comprehensive assessment of imaging quality of artificial intelligence-assisted compressed sensing-based MR images in ro - PMID 39434010.md,full text,High,Low,Low,Low,High,Low,Low,,,,,,,
Dat Tat Mai,S106,2025,A multinational study of deep learning-based image enhancement for multiparametric glioma MRI,10.1038/s41598-025-17993-0,2025 - A multinational study of deep learning-based image enhancement for multiparametric glioma MRI - SPRINGER 10.1038_s41598-025-17993-0.md,full text,Low,Unclear,Unclear,Low,Low,High,Low,,,,,,,
Dat Tat Mai,S107,2025,A physics-informed deep learning model for MRI brain motion correction,10.1002/mp.70197,2025 - A physics-informed deep learning model for MRI brain motion correction. - PMID 41395855.md,full text,High,Unclear,Unclear,Low,High,High,High,,,,,,,
Dat Tat Mai,S109,2025,Accelerating FLAIR imaging via deep learning reconstruction: potential for evaluating white matter hyperintensities,10.1007/s11604-024-01666-5,2025 - Accelerating FLAIR imaging via deep learning reconstruction potential for evaluating white matter hyperintensities. - PMID 39316286.md,full text,High,Low,Low,Low,Low,Low,Low,,,,,,,
Dat Tat Mai,S110,2025,Accelerating brain T2-weighted imaging using artificial intelligence-assisted compressed sensing combined with deep lear,10.1186/s12880-025-01763-5,2025 - Accelerating brain T2-weighted imaging using artificial intelligence-assisted compressed sensing combined with deep lear - PMID 40596927.md,abstract + MeSH only,Unclear,Unclear,Unclear,Unclear,Unclear,Low,Low,,,,,,,
Dat Tat Mai,S111,2025,Agreement of image quality metrics with radiological evaluation in the presence of motion artifacts,10.1007/s10334-025-01266-y,2025 - Agreement of image quality metrics with radiological evaluation in the presence of motion artifacts. - PMID 40493331.md,full text,High,Unclear,Unclear,Low,High,High,Low,,,,,,,
Dat Tat Mai,S115,2025,"Assessment of AI-accelerated T2-weighted brain MRI, based on clinical ratings and image quality evaluation",10.1016/j.ejrad.2025.112123,"2025 - Assessment of AI-accelerated T2-weighted brain MRI, based on clinical ratings and image quality evaluation. - PMID 40315626.md",abstract + MeSH only,Low,Low,Low,Low,Low,Low,Low,,,,,,,
Dat Tat Mai,S121,2025,DIMA: DIffusing Motion Artifacts for Unsupervised Correction in Brain MRI Images,10.1109/access.2025.3634749,2025 - DIMA DIffusing Motion Artifacts for Unsupervised Correction in Brain MRI Images - IEEEXPLORE 11258621.md,full text,High,Unclear,Low,Unclear,High,Low,High,,,,,,,
Dat Tat Mai,S122,2025,Deep learning for efficient reconstruction of highly accelerated 3D FLAIR MRI in neurological deficits,10.1007/s10334-024-01200-8,2025 - Deep learning for efficient reconstruction of highly accelerated 3D FLAIR MRI in neurological deficits. - PMID 39212832.md,full text,Low,Low,High,Low,Low,Low,High,,,,,,,
Dat Tat Mai,S125,2025,Evaluation of Image Quality and Scan Time Efficiency in Accelerated 3D T1-Weighted Pediatric Brain MRI Using Deep Learni,10.3348/kjr.2024.0701,2025 - Evaluation of Image Quality and Scan Time Efficiency in Accelerated 3D T1-Weighted Pediatric Brain MRI Using Deep Learni - PMID 39898398.md,full text,Unclear,Low,High,Low,Low,Low,Low,,,,,,,
Dat Tat Mai,S126,2025,Incorporating Radiologist Knowledge Into MRI Quality Metrics for Machine Learning Using Rank-Based Ratings,10.1002/jmri.29672,2025 - Incorporating Radiologist Knowledge Into MRI Quality Metrics for Machine Learning Using Rank-Based Ratings. - PMID 39690114.md,full text,Unclear,Low,Unclear,High,Unclear,Low,High,,,,,,,
Dat Tat Mai,S139,2025,Prospective Evaluation of Accelerated Brain MRI Using Deep Learning-Based Reconstruction: Simultaneous Application to 2D,10.3348/kjr.2024.0653,2025 - Prospective Evaluation of Accelerated Brain MRI Using Deep Learning-Based Reconstruction Simultaneous Application to 2D - PMID 39780631.md,full text,Low,Low,Low,Low,High,Low,Low,,,,,,,
Dat Tat Mai,S141,2025,Rapid and motion-robust pediatric brain imaging: T2-weighted turbo-spin-echo PROPELLER acquisition with compressed sensi,10.1007/s00247-024-06088-z,2025 - Rapid and motion-robust pediatric brain imaging T2-weighted turbo-spin-echo PROPELLER acquisition with compressed sensin - PMID 39589491.md,full text,Low,Low,Low,Low,Low,Low,Low,,,,,,,
Dat Tat Mai,S145,2025,Res-MoCoDiff: residual-guided diffusion models for motion artifact correction in brain MRI,10.1088/1361-6560/ae1110,2025 - Res-MoCoDiff residual-guided diffusion models for motion artifact correction in brain MRI. - PMID 41061726.md,full text,Unclear,Unclear,Low,Low,Unclear,High,Low,,,,,,,
Dat Tat Mai,S168,2026,Deep learning improves image quality in motion-robust and sedation-free pediatric brain MRI,10.1007/s00330-026-12482-y,2026 - Deep learning improves image quality in motion-robust and sedation-free pediatric brain MRI. - PMID 41925834.md,full text,Unclear,Unclear,Unclear,Low,Low,Low,Low,,,,,,,
Dat Tat Mai,S178,2026,MRIQT: Physics-Aware Diffusion Model for Image Quality Transfer in Neonatal Ultra-Low-Field MRI,10.1109/isbi61048.2026.11515815,2026 - MRIQT Physics-Aware Diffusion Model for Image Quality Transfer in Neonatal Ultra-Low-Field MRI - IEEEXPLORE 11515815.md,full text,Unclear,Unclear,Unclear,High,Low,High,Low,,,,,,,
Dat Tat Mai,S179,2026,MotionDPS: Motion-Compensated 3D Brain MRI Reconstruction,10.1109/tmi.2026.3705847,2026 - MotionDPS Motion-Compensated 3D Brain MRI Reconstruction - OPENALEX W7165516930.md,full text,Unclear,High,Low,Unclear,High,Low,Low,,,,,,,
